name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range
Polestar 3 Review,8,75900,https://www.electrifying.com/reviews/polestar/3/,107,250,4.1,393
Omoda E5 Review,6,33055,https://www.electrifying.com/reviews/omoda/5/,61,80,4.1,257
Ora Ballet Cat Review,4,18000,https://www.electrifying.com/long-term-reviews/ora/ballet-cat/,73,6,5.1,311
Ora Funky Cat / 03 Review,6,31995,https://www.electrifying.com/long-term-reviews/ora/funky-cat/o3/,73,64,3.6,260
Peugeot E-3008 Review,5,45960,https://www.electrifying.com/reviews/peugeot-reviews/e-3008/,85,160,4.4,435
Cupra Born VZ Review,9,46000,https://www.electrifying.com/reviews/cupra-reviews/born/,79,185,4.2,335
MG Cyberster Review,7,54995,https://www.electrifying.com/reviews/mg-reviews/cyberster/,73,150,4.0,316
Jeep Wagoneer S Review,6,65000,https://www.electrifying.com/reviews/jeep-reviews/wagoneer-s/,100,200,2.9,300
Cadillac OPTIQ Review,7,46000,https://www.electrifying.com/reviews/cadillac/optiq/,85,250,3.5,300
BMW i5 Touring Review,8,69945,https://www.electrifying.com/reviews/bmw/i5touring/,81,205,4.1,342
Citroen e-C3 Review,9,21990,https://www.electrifying.com/reviews/citroen-reviews/e-c3/,44,100,4.5,199
Cupra Tavascan Review,7,47300,https://www.electrifying.com/reviews/cupra-reviews/tavascan/,77,135,4.4,355
MINI Cooper Electric Review,8,26895,https://www.electrifying.com/reviews/mini-reviews/electric/,73,95,4.4,249
Tesla Cybertruck Review,6,80000,https://www.electrifying.com/reviews/tesla-reviews/cybertruck/,123,151,4.1,340
Geely Panda Review,7,5500,https://www.electrifying.com/reviews/geely/panda/,17,22,7.2,124
Porsche Macan Electric Review,9,68500,https://www.electrifying.com/reviews/porsche-reviews/macan-electric/,95,270,4.3,399
Mercedes G580 with EQ Technology Review,7,110000,https://www.electrifying.com/reviews/mercedes-reviews/g580-with-eq-technology/,73,151,4.1,260
Volvo EX30 Review,7,32850,https://www.electrifying.com/reviews/volvo-reviews/ex30/,56,153,4.3,296
BMW Vision Neue Klasse 2024 Review,8,60000,https://www.electrifying.com/reviews/bmw-reviews/neue-klasse/,73,151,4.1,500
MINI Countryman Review,8,42080,https://www.electrifying.com/reviews/mini-reviews/countryman-electric/,73,130,4.4,286
Kia EV9 Air Review,9,65025,https://www.electrifying.com/reviews/kia-reviews/ev9-3/,99,210,3.7,349
BMW iX2 Review,6,51615,https://www.electrifying.com/reviews/bmw-reviews/ix2/,64,151,4.1,283
Porsche Taycan 2024 Review,10,86500,https://www.electrifying.com/reviews/porsche-reviews/new-taycan-2024/,89,320,3.8,421
Skoda Enyaq (<2024) Review,9,36970,https://www.electrifying.com/reviews/skoda/enyaq-iv/,64,175,4.3,348
Kia EV9 Review,9,64995,https://www.electrifying.com/reviews/kia-reviews/ev9/,99,220,3.7,349
Nissan Ariya Review,7,39645,https://www.electrifying.com/reviews/nissan/ariya/,75,151,3.6,330
Citroen Ami Review,9,7695,https://www.electrifying.com/reviews/citroen-reviews/ami/,5,2,8.0,46
Renault Scenic E-Tech Review,9,36495,https://www.electrifying.com/reviews/renault-reviews/scenic-e-tech/,73,151,4.1,379
Porsche Taycan Sport Turismo Review,10,80200,https://www.electrifying.com/reviews/porsche-reviews/taycan-sport-turismo/,93,270,3.3,304
Abarth 500e Review,8,34195,https://www.electrifying.com/reviews/abarth/500e/,42,85,4.0,158
Vauxhall Astra Sports Tourer Electric Review,7,35280,https://www.electrifying.com/reviews/vauxhall-reviews/astra-sport-tourer/,51,100,4.4,256
Smart #3 Review,8,33950,https://www.electrifying.com/reviews/smart-reviews/3/,62,150,4.6,283
